id,target
0,0.20636
1,0.21065
2,0.20403
3,0.21453
4,0.20035
5,0.20025
6,0.24327
8,0.19544
10,0.21645
11,0.23242
12,0.19962
14,0.20308
15,0.24825
18,0.21850
21,0.20882
23,0.20890
24,0.21160
25,0.20216
27,0.20649
29,0.22386
30,0.20086
31,0.22967
32,0.22389
33,0.20463
37,0.21162
38,0.20593
39,0.25272
40,0.20676
41,0.21336
42,0.20386
44,0.20801
45,0.20622
47,0.21279
49,0.19979
51,0.20085
52,0.21491
53,0.20633
54,0.22030
55,0.20845
56,0.21587
57,0.22424
59,0.22419
60,0.20485
62,0.20415
63,0.24549
67,0.21398
68,0.20105
69,0.22013
70,0.20014
71,0.21046
73,0.22387
75,0.19984
76,0.20611
81,0.20251
82,0.22002
83,0.20414
86,0.21835
87,0.21526
88,0.21330
91,0.20731
92,0.21740
94,0.20697
97,0.21732
100,0.22944
102,0.20604
103,0.21044
105,0.20402
106,0.26469
108,0.20906
113,0.20423
114,0.22872
115,0.21364
118,0.22317
122,0.19650
124,0.22970
126,0.21602
128,0.21849
129,0.23303
130,0.24154
131,0.21371
132,0.21516
133,0.20303
134,0.23014
135,0.20355
136,0.19808
139,0.20433
140,0.22616
141,0.20662
146,0.20902
148,0.21279
151,0.20832
152,0.24569
154,0.20499
157,0.20974
158,0.19862
159,0.23037
161,0.21331
164,0.21799
165,0.22608
167,0.20739
168,0.21188
169,0.20582
171,0.20140
172,0.24776
173,0.21486
174,0.19991
175,0.23147
176,0.20495
178,0.20666
179,0.19607
180,0.20466
181,0.21829
182,0.20779
183,0.21893
184,0.23542
185,0.22245
187,0.20363
188,0.21018
190,0.23654
191,0.22209
192,0.24555
195,0.20452
196,0.20054
198,0.21413
201,0.20495
202,0.22871
203,0.19625
204,0.20053
207,0.21429
213,0.20554
219,0.20479
220,0.20903
222,0.21197
226,0.20547
228,0.21779
230,0.21469
231,0.20514
232,0.21979
233,0.21112
234,0.21137
236,0.20674
237,0.21326
